Kode,Kab/Kota,AHH_2010,AHH_2011,AHH_2012,AHH_2013,AHH_2014,AHH_2015,AHH_2016,AHH_2017,AHH_2018,EYS_2010,EYS_2011,EYS_2012,EYS_2013,EYS_2014,EYS_2015,EYS_2016,EYS_2017,EYS_2018,MYS_2010,MYS_2011,MYS_2012,MYS_2013,MYS_2014,MYS_2015,MYS_2016,MYS_2017,MYS_2018,Pengeluaran_2010,Pengeluaran_2011,Pengeluaran_2012,Pengeluaran_2013,Pengeluaran_2014,Pengeluaran_2015,Pengeluaran_2016,Pengeluaran_2017,Pengeluaran_2018,IPM_2010,IPM_2011,IPM_2012,IPM_2013,IPM_2014,IPM_2015,IPM_2016,IPM_2017,IPM_2018
1100,ACEH,69.08,69.15,69.23,69.31,69.35,69.5,69.51,69.52,69.64,12.9,13.03,13.19,13.36,13.53,13.73,13.89,14.13,14.27,8.28,8.32,8.36,8.44,8.71,8.77,8.86,8.98,9.09,7 934,8 044,8 134,8 289,8 297,8 533,8 768,8 957,9 186,67.09,67.45,67.81,68.3,68.81,69.45,70,70.6,71.19
1200,SUMATERA UTARA,67.46,67.63,67.81,67.94,68.04,68.29,68.33,68.37,68.61,11.82,11.83,11.97,12.41,12.61,12.82,13,13.1,13.14,8.51,8.61,8.72,8.79,8.93,9.03,9.12,9.25,9.34,9 196,9 231,9 266,9 309,9 391,9 563,9 744,10 036,10 391,67.09,67.34,67.74,68.36,68.87,69.51,70,70.57,71.18
1300,SUMATERA BARAT,67.59,67.79,68,68.21,68.32,68.66,68.73,68.78,69.01,12.22,12.52,12.81,13.16,13.48,13.6,13.79,13.94,13.95,8.13,8.2,8.27,8.28,8.29,8.42,8.59,8.72,8.76,9 339,9 409,9 479,9 570,9 621,9 804,10 126,10 306,10 638,67.25,67.81,68.36,68.91,69.36,69.98,70.73,71.24,71.73
1400,RIAU,70.15,70.32,70.49,70.67,70.76,70.93,70.97,70.99,71.19,11.76,11.78,11.79,12.27,12.45,12.74,12.86,13.03,13.11,8.25,8.29,8.34,8.38,8.47,8.49,8.59,8.76,8.92,9 857,9 957,10 058,10 180,10 262,10 364,10 465,10 677,10 968,68.65,68.9,69.15,69.91,70.33,70.84,71.2,71.79,72.44
1500,JAMBI,69.89,70.04,70.19,70.35,70.43,70.56,70.71,70.76,70.89,11.34,11.6,11.73,12.17,12.38,12.57,12.72,12.87,12.9,7.34,7.48,7.69,7.8,7.92,7.96,8.07,8.15,8.23,8 478,8 664,8 944,9 066,9 141,9 446,9 795,9 880,10 357,65.39,66.14,66.94,67.76,68.24,68.89,69.62,69.99,70.65
1600,SUMATERA SELATAN,68.34,68.51,68.67,68.84,68.93,69.14,69.16,69.18,69.41,11.03,11.21,11.42,11.46,11.75,12.02,12.23,12.35,12.36,7.34,7.42,7.5,7.53,7.66,7.77,7.83,7.99,8,8 536,8 803,9 040,9 231,9 302,9 474,9 935,10 220,10 652,64.44,65.12,65.79,66.16,66.75,67.46,68.24,68.86,69.39
1700,BENGKULU,67.82,67.98,68.16,68.33,68.37,68.5,68.56,68.59,68.84,11.59,11.88,12.2,12.78,13.01,13.18,13.38,13.57,13.58,7.85,7.93,8.01,8.09,8.28,8.29,8.37,8.47,8.61,8 459,8 572,8 682,8 803,8 864,9 123,9 492,9 778,10 162,65.35,65.96,66.61,67.5,68.06,68.59,69.33,69.95,70.64
1800,LAMPUNG,68.91,69.12,69.33,69.55,69.66,69.9,69.94,69.95,70.18,10.88,11.04,11.37,11.9,12.24,12.25,12.35,12.46,12.61,7.26,7.28,7.3,7.32,7.48,7.56,7.63,7.79,7.82,7 964,8 118,8 273,8 415,8 476,8 729,9 156,9 413,9 858,63.71,64.2,64.87,65.73,66.42,66.95,67.65,68.25,69.02
1900,KEP. BANGKA BELITUNG,69.15,69.31,69.48,69.64,69.72,69.88,69.92,69.95,70.18,10.48,10.7,10.79,10.96,11.18,11.6,11.71,11.83,11.87,7.07,7.19,7.25,7.32,7.35,7.46,7.62,7.78,7.84,10 707,10 808,11 218,11 657,11 691,11 781,11 960,12 066,12 666,66.02,66.59,67.21,67.92,68.27,69.05,69.55,69.99,70.67
2100,KEPULAUAN RIAU,68.42,68.63,68.85,69.05,69.15,69.41,69.45,69.48,69.64,11.51,11.61,11.9,12.26,12.51,12.6,12.66,12.81,12.82,9.38,9.46,9.58,9.63,9.64,9.65,9.67,9.79,9.81,12 267,12 513,12 740,12 942,13 019,13 177,13 359,13 566,13 976,71.13,71.61,72.36,73.02,73.4,73.75,73.99,74.45,74.84
3100,DKI JAKARTA,71.71,71.87,72.03,72.19,72.27,72.43,72.49,72.55,72.67,11.86,11.91,11.96,12.24,12.38,12.59,12.73,12.86,12.95,10.37,10.4,10.43,10.47,10.54,10.7,10.88,11.02,11.05,15 111,15 943,16 613,16 828,16 898,17 075,17 468,17 707,18 128,76.31,76.98,77.53,78.08,78.39,78.99,79.6,80.06,80.47
3200,JAWA BARAT,71.29,71.56,71.82,72.09,72.23,72.41,72.44,72.47,72.66,10.69,10.91,11.24,11.81,12.08,12.15,12.3,12.42,12.45,7.4,7.46,7.52,7.58,7.71,7.86,7.95,8.14,8.15,9 174,9 249,9 325,9 421,9 447,9 778,10 035,10 285,10 790,66.15,66.67,67.32,68.25,68.8,69.5,70.05,70.69,71.30
3300,JAWA TENGAH,72.73,72.91,73.09,73.28,73.88,73.96,74.02,74.08,74.18,11.09,11.18,11.39,11.89,12.17,12.38,12.45,12.57,12.63,6.71,6.74,6.77,6.8,6.93,7.03,7.15,7.27,7.35,8 992,9 296,9 497,9 618,9 640,9 930,10 153,10 377,10 777,66.08,66.64,67.21,68.02,68.78,69.49,69.98,70.52,71.12
3400,D I YOGYAKARTA,74.17,74.26,74.36,74.45,74.5,74.68,74.71,74.74,74.82,14.15,14.61,14.64,14.67,14.85,15.03,15.23,15.42,15.56,8.51,8.53,8.63,8.72,8.84,9,9.12,9.19,9.32,12 080,12 115,12 137,12 261,12 294,12 684,13 229,13 521,13 946,75.37,75.93,76.15,76.44,76.81,77.59,78.38,78.89,79.53
3500,JAWA TIMUR,69.89,70.02,70.14,70.34,70.45,70.68,70.74,70.8,70.97,11.49,11.62,11.74,12.17,12.45,12.66,12.98,13.09,13.1,6.73,6.79,6.85,6.9,7.05,7.14,7.23,7.34,7.39,9 002,9 396,9 797,9 978,10 012,10 383,10 715,10 973,11 380,65.36,66.06,66.74,67.55,68.14,68.95,69.74,70.27,70.77
3600,BANTEN,68.5,68.68,68.86,69.04,69.13,69.43,69.46,69.49,69.64,11.02,11.41,11.79,12.05,12.31,12.35,12.7,12.78,12.85,7.92,7.95,8.06,8.17,8.19,8.27,8.37,8.53,8.62,10 777,10 933,11 008,11 061,11 150,11 261,11 469,11 659,11 994,67.54,68.22,68.92,69.47,69.89,70.27,70.96,71.42,71.95
5100,BALI,70.61,70.78,70.94,71.11,71.2,71.35,71.41,71.46,71.68,11.71,12.12,12.26,12.4,12.64,12.97,13.04,13.21,13.23,7.74,7.77,8.05,8.1,8.11,8.26,8.36,8.55,8.65,12 074,12 307,12 530,12 738,12 831,13 078,13 279,13 573,13 886,70.1,70.87,71.62,72.09,72.48,73.27,73.65,74.3,74.77
5200,NUSA TENGGARA BARAT,63.82,64.13,64.43,64.74,64.9,65.38,65.48,65.55,65.87,11.66,11.97,12.21,12.46,12.73,13.04,13.16,13.46,13.47,5.73,6.07,6.33,6.54,6.67,6.71,6.79,6.9,7.03,8 707,8 759,8 853,8 950,8 987,9 241,9 575,9 877,10 284,61.16,62.14,62.98,63.76,64.31,65.19,65.81,66.58,67.30
5300,NUSA TENGGARA TIMUR,65.28,65.45,65.64,65.82,65.91,65.96,66.04,66.07,66.38,10.85,11.55,11.73,12.27,12.65,12.84,12.97,13.07,13.1,6.5,6.6,6.71,6.76,6.85,6.93,7.02,7.15,7.3,6 615,6 678,6 785,6 899,6 934,7 003,7 122,7 350,7 566,59.21,60.24,60.81,61.68,62.26,62.67,63.13,63.73,64.39
6100,KALIMANTAN BARAT,69.06,69.26,69.46,69.66,69.76,69.87,69.9,69.92,70.18,10.79,10.8,11.11,11.6,11.89,12.25,12.37,12.5,12.55,6.27,6.32,6.62,6.69,6.83,6.93,6.98,7.05,7.12,7 654,7 825,8 002,8 127,8 175,8 279,8 348,8 472,8 860,61.97,62.35,63.41,64.3,64.89,65.59,65.88,66.26,66.98
6200,KALIMANTAN TENGAH,68.98,69.09,69.18,69.29,69.39,69.54,69.57,69.59,69.64,11.09,11.15,11.22,11.71,11.93,12.22,12.33,12.45,12.55,7.62,7.68,7.73,7.79,7.82,8.03,8.13,8.29,8.37,9 257,9 472,9 557,9 641,9 682,9 809,10 155,10 492,10 931,65.96,66.38,66.66,67.41,67.77,68.53,69.13,69.79,70.42
6300,KALIMANTAN SELATAN,66.65,66.88,67.11,67.35,67.47,67.8,67.92,68.02,68.23,10.86,11.14,11.54,11.67,11.96,12.21,12.29,12.46,12.5,7.25,7.37,7.48,7.59,7.6,7.76,7.89,7.99,8,10 304,10 437,10 553,10 655,10 748,10 891,11 307,11 600,12 062,65.2,65.89,66.68,67.17,67.63,68.38,69.05,69.65,70.17
6400,KALIMANTAN TIMUR,72.89,73.1,73.32,73.52,73.62,73.65,73.68,73.7,73.96,11.87,12.06,12.46,12.85,13.17,13.18,13.35,13.49,13.67,8.56,8.79,8.83,8.87,9.04,9.15,9.24,9.36,9.48,10 790,10 927,10 944,10 981,11 019,11 229,11 355,11 612,11 917,71.31,72.02,72.62,73.21,73.82,74.17,74.59,75.12,75.83
6500,KALIMANTAN UTARA,71.39,71.6,71.82,72.02,72.12,72.16,72.43,72.47,72.5,,,,12.3,12.52,12.54,12.59,12.79,12.82,,,,8.1,8.35,8.36,8.49,8.62,8.87,,,,8 229,8 289,8 354,8 434,8 643,8 943,,,,67.99,68.64,68.76,69.2,69.84,70.56
7100,SULAWESI UTARA,70.4,70.55,70.7,70.86,70.94,70.99,71.02,71.04,71.26,11.34,11.5,11.77,11.88,12.16,12.43,12.55,12.66,12.68,8.66,8.68,8.71,8.79,8.86,8.88,8.96,9.14,9.24,8 935,9 113,9 430,9 583,9 628,9 729,10 148,10 422,10 731,67.83,68.31,69.04,69.49,69.96,70.39,71.05,71.66,72.20
7200,SULAWESI TENGAH,66.07,66.39,66.7,67.02,67.18,67.26,67.31,67.32,67.78,11.17,11.82,12.09,12.36,12.71,12.72,12.92,13.04,13.13,7.65,7.69,7.73,7.82,7.89,7.97,8.12,8.29,8.52,7 988,8 077,8 286,8 501,8 602,8 768,9 034,9 311,9 488,63.29,64.27,65,65.79,66.43,66.76,67.47,68.11,68.88
7300,SULAWESI SELATAN,68.93,69.12,69.31,69.5,69.6,69.8,69.82,69.84,70.08,11.47,11.82,12.16,12.52,12.9,12.99,13.16,13.28,13.34,7.29,7.33,7.37,7.45,7.49,7.64,7.75,7.95,8.02,9 331,9 459,9 560,9 632,9 723,9 992,10 281,10 489,10 814,66,66.65,67.26,67.92,68.49,69.15,69.76,70.34,70.90
7400,SULAWESI TENGGARA,69.65,69.85,70.06,70.28,70.39,70.44,70.46,70.47,70.72,12.15,12.3,12.45,12.45,12.78,13.07,13.24,13.36,13.53,7.57,7.67,7.76,7.93,8.02,8.18,8.32,8.46,8.69,8 126,8 249,8 396,8 537,8 555,8 697,8 871,9 094,9 262,65.99,66.52,67.07,67.55,68.07,68.75,69.31,69.86,70.61
7500,GORONTALO,66.41,66.59,66.76,66.92,67,67.12,67.13,67.14,67.45,11.12,11.68,11.78,12.13,12.49,12.7,12.88,13.01,13.03,6.85,6.89,6.92,6.96,6.97,7.05,7.12,7.28,7.46,8 207,8 293,8 673,8 719,8 762,9 035,9 175,9 532,9 839,62.65,63.48,64.16,64.7,65.17,65.86,66.29,67.01,67.71
7600,SULAWESI BARAT,62.5,62.78,63.04,63.32,64.04,64.22,64.31,64.34,64.58,10.58,11.21,11.28,11.46,11.78,12.22,12.34,12.48,12.59,6.63,6.65,6.76,6.87,6.88,6.94,7.14,7.31,7.5,8 003,8 049,8 091,8 148,8 170,8 260,8 450,8 736,9 051,59.74,60.63,61.01,61.53,62.24,62.96,63.6,64.3,65.10
8100,MALUKU,64.46,64.61,64.77,64.93,65.01,65.31,65.35,65.4,65.59,12.62,12.85,12.96,13.35,13.53,13.56,13.73,13.91,13.92,8.64,8.72,8.8,8.81,9.15,9.16,9.27,9.38,9.58,7 362,7 437,7 727,7 872,7 925,8 026,8 215,8 433,8 721,64.27,64.75,65.43,66.09,66.74,67.05,67.6,68.19,68.87
8200,MALUKU UTARA,66.7,66.87,67.05,67.24,67.34,67.44,67.51,67.54,67.8,11.74,11.79,12.19,12.48,12.72,13.1,13.45,13.56,13.62,7.91,7.98,8.04,8.27,8.34,8.37,8.52,8.61,8.72,6 813,6 935,7 059,7 200,7 234,7 423,7 545,7 792,7 980,62.79,63.19,63.93,64.78,65.18,65.91,66.63,67.2,67.76
9100,PAPUA BARAT,64.59,64.75,64.88,65.05,65.14,65.19,65.3,65.32,65.55,11.1,11.21,11.45,11.67,11.87,12.06,12.26,12.47,12.53,6.77,6.82,6.87,6.91,6.96,7.01,7.06,7.15,7.27,6 677,6 709,6 732,6 896,6 944,7 064,7 175,7 493,7 816,59.6,59.9,60.3,60.91,61.28,61.73,62.21,62.99,63.74
9400,PAPUA,64.31,64.46,64.6,64.76,64.84,65.09,65.12,65.14,65.36,8.57,8.92,9.11,9.58,9.94,9.95,10.23,10.54,10.83,5.59,5.6,5.73,5.74,5.76,5.99,6.15,6.27,6.52,6 251,6 303,6 349,6 394,6 416,6 469,6 637,6 996,7 159,54.45,55.01,55.55,56.25,56.75,57.25,58.05,59.09,60.06
0,INDONESIA,69.81,70.01,70.2,70.4,70.59,70.78,70.9,71.06,71.2,11.29,11.44,11.68,12.1,12.39,12.55,12.72,12.85,12.91,7.46,7.52,7.59,7.61,7.73,7.84,7.95,8.1,8.17,9 437,9 647,9 815,9 858,9 903,10 150,10 420,10 664,11 059,66.53,67.09,67.7,68.31,68.9,69.55,70.18,70.81,71.39
